SKN,Name,Lat_DD,Lon_DD,LatDeg,LatMin,LatSec,LonDeg,LonMin,LonSec,NorthingY,EastingX,ElevFT,ElevM,Observer,MinYear,MaxYear,StationStatus,DataSources
1.1,Morse Field,18.91367961,-155.6805497,18,54,49.2,155,40,50,2094562.572,849707.131,40,12,US AIR FORCE,1939,1941,Discontinued,State
1.2,Kalae S Trk Sta,18.93866881,-155.6805489,18,56,19.2,155,40,50,2097331.243,849655.129,305,93,SPACE TECH LAB,1965,1969,Discontinued,State
2.1,Kahuku Mauka 2.10,19.105,-155.725,19,6,18,155,43,30,2115671.698,844625.086,3151,961,NCDC_Daily,2002,2006,Discontinued,NCDC_Daily
2.11,Bottom 1916 Flow,19.22310147,-155.7952647,19,13,23.2,155,47,43,2128618.649,836984.533,2770,845,HOLUALOA RANCH,1956,1957,Discontinued,State
2.12,Top Terr Boy,19.18588011,-155.8222097,19,11,9.2,155,49,20,2124443.039,834224.217,3430,1046,HOLUALOA RANCH,1956,1957,Discontinued,State
2.13,100 Acres,19.1961578,-155.8035984,19,11,46.2,155,48,13,2125617.514,836162.358,4200,1280,PUUWAAWAA RANCH,1961,1979,Discontinued,State
2.14,Kapua Mauka,19.18532491,-155.7888767,19,11,7.2,155,47,20,2124445.886,837734.035,4620,1409,HOLUALOA RANCH,1956,1957,Discontinued,State
2.15,Pa Hanalei Pen,19.2036575,-155.813876,19,12,13.2,155,48,50,2126428.538,835065.382,4000,1220,HOLUALOA RANCH,1956,1979,Discontinued,State
2.16,Castle Padd Tank,19.21365726,-155.7888761,19,12,49.2,155,47,20,2127584.755,837676.185,5050,1540,HOLUALOA RANCH,1956,1957,Discontinued,State
2.17,Okoe,19.16699076,-155.8652659,19,10,1.2,155,51,55,2122268.332,829729.832,1590,485,PUUWAAWAA RANCH,1958,1977,Discontinued,State
2.18,Kole Pen,19.13865819,-155.875544,19,8,19.2,155,52,32,2119110.235,828704.084,920,280,PUUWAAWAA RANCH,1960,1977,Discontinued,State
2.22,Furlka,19.18199125,-155.8255431,19,10,55.2,155,49,32,2124005.816,833881.195,3200,976,PUUWAAWAA RANCH,1979,1979,Discontinued,State
2.23,Bill Jack,19.18199061,-155.8505432,19,10,55.2,155,51,2,2123957.979,831249.65,2060,628,HOLUALOA RANCH,1957,1957,Discontinued,State
2.24,Kau,19.10866081,-155.7958228,19,6,31.2,155,47,45,2115939.081,837158.822,2360,720,WINFORD GARDENS,1966,1968,Discontinued,State
2.3,Hoopuloa Upper,19.21032328,-155.8522094,19,12,37.2,155,51,8,2127093.559,831017.508,2425,739,DOMKOWICZ RYS,1903,1912,Discontinued,State
2.31,South Kona,19.09699465,-155.7497122,19,5,49.2,155,44,59,2114736.224,842038.911,2650,808,MRS C CARLSON,1977,1986,Discontinued,State
2.32,South Kona 2 2.32,19.105,-155.78,19,6,18,155,46,48,2115564.123,838832.625,2564,782,NCDC_Daily,1989,Present,Current,NCDC_Daily
2.35,Honomalino 2.35,19.201,-155.843,19,12,3.6,155,50,34.8,2126078.264,832005.47,2746,837,NCDC_Daily,1999,2002,Discontinued,NCDC_Daily
2.36,Kapua 2.36,19.14,-155.824,19,8,24,155,49,26.4,2119356.814,834128.352,2472,754,NCDC_Daily,2000,Present,Current,NCDC_Daily
2.4,Hoopuloa Lower,19.19698981,-155.8688765,19,11,49.2,155,52,8,2125584.812,829290.016,1650,503,EDWARDS EH,1897,1905,Discontinued,State
2.7,Kahuku Plant,19.23587837,-155.8585982,19,14,9.2,155,51,31,2129912.442,830293.981,2400,732,ARNEMANN WHG,1909,1910,Discontinued,State
2.8,Top Coffee Papa,19.19532346,-155.855543,19,11,43.2,155,51,20,2125425.507,830696.7,2050,625,HOLUALOA RANCH,1956,1957,Discontinued,State
2.9,Kapulepu,19.18199051,-155.8555432,19,10,55.2,155,51,20,2123948.46,830723.349,1900,579,HOLUALOA RANCH,1956,1956,Discontinued,State
3,South Pt Corral,18.94700043,-155.6799932,18,56,49.2,155,40,48,2098255.447,849696.332,400,122,PARKER RANCH,1948,1981,Discontinued,"NCDC, State, State/NCDC"
3.1,Kahuku 2 Makai,19.13838146,-155.6986016,19,8,18.2,155,41,55,2119422.466,847335.5,4300,1311,KAHUKU RANCH,1949,1973,Discontinued,State
3.11,Mauka Reservoir 3.11,19.159,-155.674,19,9,32.4,155,40,26.4,2121756.116,849882.541,4990,1521,NCDC,1983,Present,Current,NCDC
